Designator,Footprint,Quantity,Value,LCSC Part #
"_8, _7, _6, _4, _3, _2",,6,,
"_5, ",0faea2d4-577a-4ea1-81af-0a26aae559f2,2,,
U1,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,1,SCD43-D-R2,
