Designator,Mid X,Mid Y,Rotation,Layer
_2,58.500012,-5.5,0.0,top
,0.0,-5.5,0.0,top
AE1,60.226497,62.988004,91.5,top
BT1,28.279271,37.178512,0.0,top
C1,43.84,-4.37,90.0,top
C10,9.97,27.235,180.0,top
C11,22.44,24.655,90.0,top
C12,52.93,1.46,0.0,top
C13,11.36,25.145,270.0,top
C15,30.8,10.24,270.0,top
C16,14.6,26.975,270.0,top
C17,6.92,2.39,0.0,top
C19,29.88,10.24,270.0,top
C2,17.38,30.97,90.0,top
C20,28.54,20.85,90.0,top
C21,6.92,1.47,0.0,top
C22,19.52,24.65,90.0,top
C24,7.64,19.9,90.0,top
C26,12.72,23.23,0.0,top
C27,12.73,24.145,0.0,top
C28,49.92,19.0375,270.0,top
C29,40.633,56.87,0.0,bottom
C3,20.46,30.81,180.0,top
C30,18.81,32.08,270.0,top
C33,5.395,19.7,180.0,top
C35,38.813,56.87,0.0,bottom
C36,54.41,16.85,0.0,top
C37,54.41,14.87,0.0,top
C38,47.780779,21.1125,0.0,top
C39,6.12,-17.38,0.0,top
C4,20.98,24.655,90.0,top
C40,48.2,10.68,180.0,top
C41,24.23,59.385,90.0,top
C42,44.71,1.76,90.0,bottom
C43,30.758441,56.73,270.0,top
C44,47.485,-8.51,270.0,bottom
C45,35.52,64.4,90.0,top
C46,52.455,-8.51,270.0,bottom
C47,40.29,13.82,180.0,top
C48,35.83,61.57,0.0,bottom
C49,34.758441,56.73,270.0,top
C5,9.97,26.315,0.0,top
C50,45.99,12.35,180.0,top
C51,33.758441,56.73,270.0,top
C52,41.38,-7.58,90.0,top
C53,32.758441,56.73,270.0,top
C54,33.758441,58.73,90.0,top
C55,34.758441,58.73,90.0,top
C56,37.0,-6.77,270.0,top
C57,40.46,-7.58,90.0,top
C58,31.758441,56.73,270.0,top
C59,32.94,11.62,90.0,top
C6,20.755,32.0,180.0,top
C60,35.81,-6.995,270.0,top
C63,16.72,1.0,0.0,top
C64,40.16,55.49,90.0,bottom
C65,37.87,56.815,90.0,top
C66,49.93,17.2175,270.0,top
C67,45.12,14.6775,180.0,top
C68,41.062512,60.15,90.0,bottom
C69,42.032512,60.15,90.0,bottom
C7,11.36,26.975,270.0,top
C70,16.72,0.08,0.0,top
C71,35.63,-4.41,270.0,top
C72,15.59,29.11,180.0,top
C73,10.0,29.11,180.0,top
C74,36.1,-8.95,0.0,top
C8,16.46,30.97,270.0,top
C9,14.6,25.155,90.0,top
CN3,35.978441,16.31,180.0,top
CN4,11.72,62.415,90.0,top
CN5,49.7975,6.53,90.0,top
D3,34.74,60.35,180.0,top
D4,35.48,60.21,90.0,bottom
D5,35.186448,61.64,0.0,top
F1,52.38,-0.71,0.0,top
FPC1,29.158441,58.18,180.0,bottom
L1,23.6,28.85,90.0,top
L2,57.91,20.03,270.0,top
L3,37.19,63.27,270.0,top
LED1,8.394441,65.96,180.0,bottom
LED2,21.959941,65.9599,0.0,bottom
LED3,36.917541,65.96,0.0,bottom
LED4,50.09,65.63,0.0,bottom
NT1,16.03,33.51,180.0,bottom
NTC1,28.2,29.93,90.0,top
NTC2,0.81,41.49,270.0,bottom
Q1,26.1,21.77,180.0,top
Q2,21.57,20.8,270.0,top
Q3,15.885,26.29,270.0,top
Q4,16.16,-7.52,90.0,top
Q5,36.78,59.92,270.0,top
R1,44.77,-4.37,90.0,top
R10,18.14,21.36,270.0,top
R11,42.91,-4.37,90.0,top
R12,9.97,28.165,0.0,top
R13,15.99,28.165,180.0,top
R14,30.31,8.84,180.0,top
