Designator,Mid X,Mid Y,Rotation,Layer
R15,23.7,21.16,270.0,top
R16,19.09,21.36,270.0,top
R17,13.19,28.165,0.0,top
R18,25.74,29.88,270.0,top
R19,26.69,29.87,90.0,top
R2,22.31,17.42,90.0,top
R20,13.19,29.105,0.0,top
R21,15.53,30.97,270.0,top
R22,52.57,19.04,270.0,top
R23,17.07,-5.17,0.0,top
R24,51.62,19.04,270.0,top
R25,8.57,21.76,90.0,top
R26,14.0,1.45,0.0,top
R27,20.79,10.87,180.0,top
R28,20.79,11.81,0.0,top
R29,51.62,17.18,270.0,top
R3,30.52,15.59,270.0,top
R30,13.99,2.39,0.0,top
R31,8.57,19.89,90.0,top
R32,47.765,19.1875,0.0,top
R33,9.51,19.89,90.0,top
R35,45.14,16.8275,270.0,top
R36,8.77,2.39,180.0,top
R38,32.94,13.48,90.0,top
R39,18.42,56.75,270.0,top
R4,23.18,32.12,180.0,top
R40,19.36,56.75,270.0,top
R41,53.385,-8.51,270.0,bottom
R42,25.27,57.385,270.0,top
R43,24.23,57.385,270.0,top
R44,59.05,15.12,180.0,top
R45,53.3,59.63,180.0,top
R46,45.16,19.5675,180.0,top
R47,41.0775,58.28,270.0,bottom
R49,42.0575,62.75,270.0,bottom
R5,9.97,25.385,0.0,top
R50,30.31,2.46,0.0,top
R51,30.30152,3.415286,0.0,top
R52,30.30152,4.355286,180.0,top
R53,30.30152,5.305286,180.0,top
R54,40.36,-4.38,270.0,top
R55,39.41,-4.38,270.0,top
R56,38.47,-4.38,270.0,top
R57,37.51,-4.38,270.0,top
R58,36.56,-4.39,270.0,top
R59,34.6,-6.87,270.0,top
R6,16.0,23.19,180.0,top
R7,41.96,-4.37,90.0,top
R8,7.91,27.78,90.0,top
R9,9.97,24.445,0.0,top
SW1,21.238441,-7.44,0.0,top
SW2,30.788441,-7.42,0.0,top
TF1,38.97,2.91,0.0,top
U1,26.115,13.745,270.0,top
U10,50.305,-8.18,180.0,bottom
U11,60.399301,27.468524,270.0,bottom
U12,5.8275,-18.84,0.0,top
U13,43.01,-8.03,270.0,top
U14,38.69,-7.9,90.0,top
U15,34.62,12.3,0.0,top
U16,52.86,24.41,180.0,bottom
U17,17.81,-2.5225,0.0,top
U18,44.64,61.1775,0.0,top
U19,47.32,16.8275,270.0,top
U20,46.17,61.05,270.0,bottom
U3,12.97,26.095,270.0,top
U4,4.058441,11.11,90.0,top
U5,19.75,28.6,0.0,top
U6,9.19,-4.07,0.0,top
U7,6.07,22.19,0.0,top
U8,54.39,20.04,0.0,top
U9,38.793,55.755,0.0,bottom
USB1,50.35,-6.2075,0.0,top
