Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,LCSC Part
U11,1,LIS2DH12TR,,,,easyeda2kicad:LGA-12_L2.0-W2.0-P0.50-BL,https://lcsc.com/product-detail/Motion-Sensors-Accelerometers_STMicroelectronics_LIS2DH12TR_STMicroelectronics-LIS2DH12TR_C110926.html,C110926
U6,1,LM66200DRLR,,,,easyeda2kicad:SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,,C3235556
"D1,D2,D3",3,"PMEG3005EL,315",,,,easyeda2kicad:SOD-882_L1.0-W0.6-RD,https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_Nexperia_PMEG3005EL-315_Nexperia-PMEG3005EL-315_C282565.html,C282565
U9,1,SGP41-D-R4,,,,Senserion:XDCR_SGP41-D-R4,,
U13,1,SHT4x,,,,Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,https://sensirion.com/media/documents/33FD6951/624C4357/Datasheet_SHT4x.pdf,
Q4,1,SI1308EDL,,,,easyeda2kicad:SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR,,C7603347
Q1,1,SIA445EDJ-T1-GE3,,,,easyeda2kicad:SC-70-6L_L2.0-W2.0-P0.65-BL,https://lcsc.com/product-detail/MOSFET_VISHAY_SIA445EDJ-T1-GE3_SIA445EDJ-T1-GE3_C144959.html,C144959
CN1,1,SM02B-SRSS-TB (LF)(SN),,,,easyeda2kicad:CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,https://lcsc.com/product-detail/Others_JST-Sales-America__JST-Sales-America-SM02B-SRSS-TB-LF-SN_C160402.html,C160402
U12,1,SN74LVC1G06DBVR_C41431788,,,,easyeda2kicad:SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,,C41431788
U14,1,STCC4,,,,0my_project:STCC4,https://sensirion.com/media/documents/6AED4B15/684A889C/CD_DS_STCC4_D1_3.pdf,
U16,1,TAU1113,,,,RF_GPS:TAU1113,https://docs.datagnss.com/rtk-board/files/T-5-2208-TAU1113%20Datasheet-V1.4.pdf,
U10,1,TMUX121NKGR_C22428404,,,,easyeda2kicad:UQFN-10_L1.8-W1.4-P0.40-BL,,C22428404
U5,1,TPL5010DDCR,,,,easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,https://lcsc.com/product-detail/Timer_Texas-Instruments-Texas-Instruments-TPL5010DDCR_C473912.html,C473912
U2,1,TPS63802DLAR,,,,easyeda2kicad:VSON-10_L3.0-W2.0-P0.50-TL,,C2845237
U7,1,TPS7A0228DQNR,,,,easyeda2kicad:X2SON-4_L1.0-W1.0-P0.65-TL-EP,,C5220175
"SW1,SW2",2,TS-1091C-A1B3-D2,,,,easyeda2kicad:KEY-SMD_3P-L5.5-W3.8-P3.00,,C2874581
U1,1,W25N512GVEIG,,,,easyeda2kicad:WSON-8_L8.0-W6.0-P1.27-TL-1,,C3024446
L2,1,XFL4015-471MEC,,,,easyeda2kicad:IND-SMD_L4.0-W4.0_XFL4020-102MEB,,C18221164
L3,1,XRTC201210S100MBCA,,,,easyeda2kicad:L0805,,C39846618
Q2,1,ZVN4106FTA_C508255,,,,easyeda2kicad:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,https://lcsc.com/product-detail/MOSFET_Diodes-Incorporated-ZVN4106FTA_C508255.html,C508255
